Altium Designer Pick and Place Locations
I:\RD\SD\AT-LINK\AT-Link¸ôÀëĞÍ\AT-Link-ISO V1.0\Project Outputs for AT Link Isol\Pick Place for AT-Link-ISO_V1.0.csv

========================================================================================================================
File Design Information:

Date:       31/12/20
Time:       14:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R12","100K","TopLayer","0603_r","1973.354mil","71.513mil","0","ÌùÆ¬µç×è 100K 5% 1/10W 0603"
"C5","0.1uF","BottomLayer","0603_c","1311.000mil","850.000mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"R11","100R","TopLayer","0603_r","1802.000mil","65.000mil","180","ÌùÆ¬µç×è 100R 5% 1/10W 0603"
"R10","100R","TopLayer","0603_r","1971.000mil","199.000mil","180","ÌùÆ¬µç×è 100R 5% 1/10W 0603"
"Designator22","Comment","TopLayer","log_small","-3612.205mil","-402.331mil","360",""
"CN2","CON1","TopLayer","SWD_2*5P_SMT","2256.000mil","442.901mil","270","¼òÒ×Å£½ÇDC3-10P Ö±Õë 2.54mm 2*5PË«ÅÅ ºÚÉ«"
"Q1","S8050","BottomLayer","SOT-23","347.000mil","676.500mil","270","Èı¼«¹ÜSS8050 SOT-23"
"RP3","100R","TopLayer","0603*4,8P4R","507.401mil","763.417mil","360","ÌùÆ¬ÅÅ×è 100R 5% 1/16W 0603"
"J1","NC","TopLayer","HDR1X10","773.740mil","903.304mil","180","µ¥ÅÅÖ±²åÕë2.54mm"
"U2","USBLC6-2SC6","BottomLayer","SOT-23-6","382.859mil","306.394mil","180","USBLC6-2SC6"
"F1","SMD0603B025TF","TopLayer","0603_r","1227.290mil","777.000mil","180","SMD0603B025TF ¿É»Ö¸´±£ÏÕË¿"
"R9","470R","TopLayer","0603_r","1802.000mil","128.000mil","180","ÌùÆ¬µç×è 470R 5% 1/10W 0603"
"R8","100R","TopLayer","0603_r","1802.000mil","272.000mil","180","ÌùÆ¬µç×è 100R 5% 1/10W 0603"
"R7","15K","BottomLayer","0603_r","2044.000mil","263.000mil","270","ÌùÆ¬µç×è 15K 1% 1/10W 0603"
"R6","51K","BottomLayer","0603_r","1935.000mil","170.000mil","180","ÌùÆ¬µç×è 51K 1% 1/10W 0603"
"C13","0.1uF","BottomLayer","0603_c","1693.733mil","43.139mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C12","0.1uF","BottomLayer","0603_c","1119.379mil","-12.787mil","360","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C10","0.1uF","TopLayer","0603_c","1200.000mil","449.772mil","360","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C6","10uF","BottomLayer","0603_c","1378.836mil","618.197mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ 10uF,16V,10%,X7R,SMD0603"
"C4","10uF","BottomLayer","0603_c","1383.000mil","849.059mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ 10uF,16V,10%,X7R,SMD0603"
"C7","10uF","BottomLayer","0603_c","1796.000mil","393.566mil","270","ÌùÆ¬ÌÕ´ÉµçÈİ 10uF,16V,10%,X7R,SMD0603"
"C3","10uF","TopLayer","0603_c","636.000mil","272.000mil","270","ÌùÆ¬ÌÕ´ÉµçÈİ 10uF,16V,10%,X7R,SMD0603"
"C2","0.1uF","TopLayer","0603_c","318.504mil","207.969mil","270","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C1","10uF","TopLayer","0603_c","318.504mil","342.921mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ 10uF,16V,10%,X7R,SMD0603"
"U3","RT9080N-08GJ5","BottomLayer","SOT-23-5","1929.000mil","289.000mil","90","RT9080N-08GJ5"
"Y1","8MHz","TopLayer","XTAL_5032","433.875mil","496.557mil","180","ÎŞÔ´¾§Õñ8MHz TZ0211E 5032_4,20pF,20PPM"
"RP2","1K","TopLayer","RP_4-0603","496.417mil","36.032mil","180","ÌùÆ¬ÅÅ×è 1K 5% 1/16W 0603"
"U6","ADUM1402CRW","BottomLayer","SOIC-16_300mil","1422.172mil","188.500mil","90","ADUM1402CRW"
"U5","ADUM1401CRW","TopLayer","SOIC-16_300mil","1422.172mil","188.000mil","270","ADUM1401CRW"
"U4","B0505S-1WR3","TopLayer","B0505S-1WR3-B","1426.496mil","715.221mil","270","B0505S-1WR3"
"D3","DFLS130L","TopLayer","SOD-123","1798.000mil","200.000mil","360","ÌùÆ¬¶ş¼«¹Ü DFLS130L-7"
"D2","SMF3.3A","TopLayer","SOD-123","2012.000mil","721.000mil","90","TVS¹ÜSMF3.3A"
"R5","15K","TopLayer","0603_r","442.974mil","162.524mil","360","ÌùÆ¬µç×è 15K 1% 1/10W 0603"
"RP1","100R","BottomLayer","0603*4,8P4R","1848.417mil","54.717mil","90","ÌùÆ¬ÅÅ×è 100R 5% 1/16W 0603"
"U8","W25Q128","BottomLayer","SOIC-8_208mil","813.159mil","73.933mil","270","W25Q128JVSIQTR"
"U7","AT32F403CGT6","TopLayer","LQFP48_-_2","845.212mil","536.414mil","360","AT32F403CGT6"
"U1","RT9080N-08GJ5","TopLayer","SOT-23-5","446.910mil","271.492mil","360","RT9080N-08GJ5"
"R17","100K","BottomLayer","0603_r","431.570mil","56.945mil","180","ÌùÆ¬µç×è 100K 5% 1/10W 0603"
"R16","33R","BottomLayer","0603_r","477.000mil","625.000mil","180","ÌùÆ¬µç×è 33R 5% 1/10W 0603"
"R15","100K","BottomLayer","0603_r","586.000mil","660.315mil","270","ÌùÆ¬µç×è 100K 5% 1/10W 0603"
"R14","470R","BottomLayer","0603_r","477.000mil","694.000mil","360","ÌùÆ¬µç×è 470R 5% 1/10W 0603"
"R3","47K","TopLayer","0603_r","568.533mil","271.802mil","90","ÌùÆ¬µç×è 47K 1% 1/10W 0603"
"R2","22R","BottomLayer","0603_r","540.000mil","268.992mil","360","ÌùÆ¬µç×è 22R 5% 1/10W 0603"
"R1","NC","BottomLayer","0603_r","540.000mil","333.000mil","180",""
"R4","22R","BottomLayer","0603_r","540.000mil","207.969mil","360","ÌùÆ¬µç×è 22R 5% 1/10W 0603"
"LS1","MLT-5030ÌùÆ¬ÎŞÔ´·äÃùÆ÷","TopLayer","BUZZER_-_5030","107.422mil","827.375mil","90","MLT-5030ÌùÆ¬ÎŞÔ´·äÃùÆ÷"
"LED4","YELLOW","TopLayer","LED0603","1035.892mil","95.801mil","90","ÌùÆ¬LED  »ÆÉ« 0603"
"LED3","BLUE","TopLayer","LED0603","959.892mil","95.801mil","90","ÌùÆ¬LED  À¶É« 0603"
"LED2","GREEN","TopLayer","LED0603","885.862mil","95.856mil","90","ÌùÆ¬LED  ÂÌÉ« 0603"
"LED1","RED","TopLayer","LED0603","808.892mil","95.856mil","90","ÌùÆ¬LED  ºìÉ« 0603"
"D4","RB521S-30","TopLayer","SOD-523","301.646mil","751.680mil","90","ÌùÆ¬¶ş¼«¹Ü RB521S-30 SOD-523"
"D1","DFLS130L","TopLayer","SOD-123","1798.000mil","348.000mil","180","ÌùÆ¬¶ş¼«¹Ü DFLS130L-7"
"CN1","USB-A 90¡ãÍäÕë","TopLayer","USB_A_-_DIP","153.835mil","444.189mil","270","USB-A¹«Í· /90¡ã½Å/Ö±²åÊ½"
"C22","0.1uF","BottomLayer","0603_c","1029.313mil","18.035mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C20","22pF","BottomLayer","0603_c","495.315mil","451.281mil","360","ÌùÆ¬ÌÕ´ÉµçÈİ 22pF,50V,5%,COG,SMD0603"
"C19","22pF","BottomLayer","0603_c","382.541mil","540.832mil","180","ÌùÆ¬ÌÕ´ÉµçÈİ 22pF,50V,5%,COG,SMD0603"
"C21","0.1uF","BottomLayer","0603_c","649.425mil","526.000mil","180","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C18","0.1uF","BottomLayer","0603_c","787.569mil","647.000mil","270","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C17","0.1uF","BottomLayer","0603_c","997.000mil","676.000mil","270","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C16","0.1uF","BottomLayer","0603_c","917.208mil","417.322mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C15","0.1uF","BottomLayer","0603_c","697.372mil","436.148mil","360","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C14","4.7uF","BottomLayer","0603_c","855.054mil","416.669mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ4.7uF,16V,10%,X7R,SMD0603"
"C11","0.1uF","TopLayer","0603_c","1797.000mil","425.000mil","360","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"C9","10uF","BottomLayer","0603_c","1797.055mil","254.000mil","90","ÌùÆ¬ÌÕ´ÉµçÈİ 10uF,16V,10%,X7R,SMD0603"
"C8","0.1uF","BottomLayer","0603_c","1965.315mil","431.000mil","360","ÌùÆ¬ÌÕ´ÉµçÈİ 0.1uF,16V,10%,X7R,SMD0603"
"B1","Button,SMD_2P","TopLayer","Button_3*6*2.5","120.108mil","59.374mil","360","Á½½ÅSMTÌùÆ¬Çá´¥¿ª¹Ø3.5*6*5  ºÚÉ«"
